product_handle,title,description,price,images
casual-linen-boyfriend-shirt-blue-wide-stripe,Casual Linen Boyfriend Shirt,"Loose Fit – where comfort meets cool, a stylish loose cut makes this a must-have shape Long sleeves with a single collar Button-down with button fastening cuffs Signature metal tab on the hemline Our Casual Linen Boyfriend Shirt is the perfect everyday look for whatever your plans. Crafted with a woven material and a loose fit, it's ideal for layering over a basic tee with a pair of denim shorts or dressing up with a skirt.Care Instructions:100% Bleach: Do Not Bleach Dry: Do Not Tumble Dry Dry Clean: Do Not Dry Clean Wash: Machine Wash - Cold (30°C)",84.95,"[""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666727899_a10db669-e9f4-48a8-aae6-84c070183652.jpg?v=1755477991"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666727897_9b2fa1f0-4ea3-4784-9c89-4fa389a25a3c.jpg?v=1755477991"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666727891_e00826a6-b8f3-4f65-903e-ec8e9bb09555.jpg?v=1755477991"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666727895_b9a3cad0-d849-4552-823a-1c11d07a1efb.jpg?v=1755477991"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666727893_07a97166-2faf-49bb-9b45-8ce0bb6bb64d.jpg?v=1755477991""]"
essential-logo-garment-dye-pocket-t-shirt-copen-blue,Essential Logo Garment Dye Pocket T-Shirt,"Relaxed fit – the classic Superdry fit. Not too slim, not too loose, just right. Go for your normal size Crew neckline with short sleeves Single chest pocket Slub jersey material Signature tab on the side seam Contrast embroidered text on the chest An essential in every wardrobe, especially yours. Our Essential Logo Garment Dye Pocket T-Shirt has been designed with a super soft jersey material and a classic silhouette, it's a signature staple for layering throughout the seasons.Care Instructions:Cotton 100% Bleach: Do Not Bleach Dry: Do Not Tumble Dry Dry Clean: Do Not Dry Clean Wash: Machine Wash - Cold (30°C)",29.95,"[""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666704564_98d9126a-4ce2-4380-9ccf-2a59c59630fc.jpg?v=1755477998"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666704562_4b99acfa-93c6-4d2e-b756-f8f876506406.jpg?v=1755477998"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666704554_c6bb0a4c-913c-4b2a-b057-c2704c813127.jpg?v=1755477998"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666704560_fc174ee6-9bf9-4dd7-b1cc-3e4cb5c68968.jpg?v=1755477998"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666704556_c82823a5-ac5a-4f5b-b398-42ca26f64568.jpg?v=1755477998"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666704558_557370dd-d632-4981-9d8f-0a3687d42d44.jpg?v=1755477998""]"
slub-embroidered-v-neck-t-shirt-ashley-blue-optic-stripe,Slub Embroidered V-Neck T-Shirt,"Relaxed fit – the classic Superdry fit. Not too slim, not too loose, just right. Go for your normal size V-Neck Short sleeves with unfinished hems Embroidered logo Back seam Signature Superdry logo badge Dress your best in your casualwear this season with our Studios Slub Embroidered V-Neck T-Shirt. Simple and stylish, keeping your essentials elevated. This T-shirt is easy to pair with jeans or shorts to suit any occasion.Care Instructions:40%, Cotton 60% Bleach: Do Not Bleach Dry: Do Not Tumble Dry Dry Clean: Do Not Dry Clean Wash: Machine Wash - Cold (30°C)",29.95,"[""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666677811_229eeaa4-b1cf-4a06-8605-e8391fae8c6e.jpg?v=1755478005"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666677809_b45c4ba3-47d3-4f96-aadb-a1134b758b16.jpg?v=1755478005"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666677801_335dc0bd-91ad-49b4-a578-c201186964bb.jpg?v=1755478005"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666677807_b13d7b29-a56a-4c50-b6b4-4463a8906bd3.jpg?v=1755478005"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666677803_24ee68d1-e3ac-42cb-b4f6-151d5b21854e.jpg?v=1755478005"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666677805_1357d7a2-8798-4fbf-9c2a-48ef5fd89299.jpg?v=1755478005""]"
essential-logo-garment-dye-pocket-t-shirt-spearmint-light-green,Essential Logo Garment Dye Pocket T-Shirt,"Relaxed fit – the classic Superdry fit. Not too slim, not too loose, just right. Go for your normal size Crew neckline with short sleeves Single chest pocket Slub jersey material Signature tab on the side seam Contrast embroidered text on the chest An essential in every wardrobe, especially yours. Our Essential Logo Garment Dye Pocket T-Shirt has been designed with a super soft jersey material and a classic silhouette, it's a signature staple for layering throughout the seasons.Care Instructions:100% Bleach: Do Not Bleach Dry: Do Not Tumble Dry Dry Clean: Do Not Dry Clean Wash: Machine Wash - Cold (30°C)",29.95,"[""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666686054_e3255347-6ce6-43e1-aa3b-d6c5c56c2886.jpg?v=1755478011"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666686052_196b496f-6336-404c-9285-9fff0057aed8.jpg?v=1755478011"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666686048_d252c36b-6b41-41cd-be4e-0f261bd2dc6a.jpg?v=1755478011"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666686050.jpg?v=1755478011""]"
printed-button-up-cami-midi-dress-green-ditsy,Printed Button-Up Cami Midi Dress,"Slim fit – designed to fit closer to the body for a more tailored look Midi length Adjustable spaghetti straps Scoop neck Button fastening Two split side seams Metal Superdry tab Elevate your look with our Printed Button-Up Cami Midi Dress. We've crafted this dress to bring you a refined statement piece, so you can take your sunny outfits to a new level. Intricate patterns and a simplistic cut create a contemporary silhouette that taps into an artisan design, making this dress an ideal choice whether you're keeping it cool on the beach or getting ready for a night of cocktails.Care Instructions:100% Bleach: Do Not Bleach Dry: Do Not Tumble Dry Dry Clean: Do Not Dry Clean",69.95,"[""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666732165.jpg?v=1755478014"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666732155.jpg?v=1755478014"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666732161.jpg?v=1755478014"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666732153.jpg?v=1755478014"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666732163.jpg?v=1755478015"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666732157.jpg?v=1755478014"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666732159.jpg?v=1755478014""]"
vintage-logo-tokyo-scoop-neck-tank-top-pumice-stone-beige,Vintage Logo Tokyo Scoop Neck Tank Top,"Relaxed fit – the classic Superdry fit. Not too slim, not too loose, just right. Go for your normal size Scoop neckline with ribbed detailing Large embellished graphic across the chest Signature tab on the hemline Inspired by Japanese culture, the Vintage Logo Tokyo Scoop Neck Tank Top is the perfect balance between style and keeping cool in the height of summer. Adorned with mesmerising embellished graphics and a tank top silhouette, ideal for showing off your style in such an effortless way.Care Instructions:100% Bleach: Do Not Bleach Dry: Do Not Tumble Dry Dry Clean: Do Not Dry Clean",44.95,"[""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666702984.jpg?v=1755478015"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666702982.jpg?v=1755478015"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666702976.jpg?v=1755478015"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666702980.jpg?v=1755478016"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666702978.jpg?v=1755478016""]"
slim-oxford-long-sleeve-shirt-city-pink-chambray-oxford,Slim Oxford Long Sleeve Shirt,"Slim fit – designed to fit closer to the body for a more tailored look Single collar with a chest pocket Button fastening with button adjustable cuffs Signature tab on the back Crafted with the aim to become essential in your wardrobe, our Slim Oxford Long Sleeve Shirt has been crafted with the utmost care and style. The shirt is proof that you can never go wrong with a classic, especially this one, style with a pair of our denim jeans for an effortlessly polished outfit.Care Instructions:Cotton 100% Bleach: Do Not Bleach Dry: Line Dry Dry Clean: Do Not Dry Clean",69.95,"[""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666693400.jpg?v=1755478017"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666693398.jpg?v=1755478017"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666693394.jpg?v=1755478017"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666693396.jpg?v=1755478017""]"
short-sleeve-printed-playsuit-tala-tile-border-blue,Short Sleeve Printed Playsuit,"Relaxed fit – the classic Superdry fit. Not too slim, not too loose, just right. Go for your normal size V neckline and open back Button fastening with an elasticated waist Tie fastening on the back with tassels Signature metal tab on the leg Bored of your summer dresses? Switch it up with our Short Sleeve Printed Playsuit, crafted with a woven crinkle material and a beautiful summer feel to it, it's light, airy, and a fashion statement all in one.Care Instructions:100% Bleach: Do Not Bleach Dry: Do Not Tumble Dry Dry Clean: Do Not Dry Clean",69.95,"[""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666687006.jpg?v=1755478018"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666687018.jpg?v=1755478018"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666687008.jpg?v=1755478017"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666687014.jpg?v=1755478018"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666687016.jpg?v=1755478017"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666687010.jpg?v=1755478017"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666687012.jpg?v=1755478017""]"
essential-logo-washed-t-shirt-alpine-green,Essential Logo Washed T-Shirt,"Relaxed fit – the classic Superdry fit. Not too slim, not too loose, just right. Go for your normal size Ribbed crew neckline Embroidered Superdry logo The Essential Logo Washed T-Shirt is the season staple needed for your everyday wardrobe, a transitional piece that can be styled into your personal look numerous ways. Bringing the iconic Superdry feel and quality to your essentials, this tee is your new go-to.Care Instructions:Cotton 100% Bleach: Do Not Bleach Dry: Do Not Tumble Dry Dry Clean: Do Not Dry Clean Wash: Machine Wash - Cold (30°C)",29.95,"[""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666678038.jpg?v=1755478019"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666678036.jpg?v=1755478019"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666678028.jpg?v=1755478019"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666678034.jpg?v=1755478019"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666678030.jpg?v=1755478019"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666678032.jpg?v=1755478019""]"
cargo-shorts-olive-night-green,Cargo Shorts,"Relaxed fit – the classic Superdry fit. Not too slim, not too loose, just right. Go for your normal size Zip and popper fastening Drawcord waist Belt loops Drawcord cuffs Two waist pockets Two side pockets Two back pockets with popper fastening Superdry branding patch Inspired by our Cargo Pants, we have taken that authentic design to bring you a distinctive option for the warmer weather. The Cargo Shorts are an iconic way to elevate your look and bring a vintage style to your casualwear. Whatever the occasion, whatever these shorts are paired with, you are the statement.Care Instructions:100% Material: Cotton 100% Bleach: Do Not Bleach Dry: Do Not Tumble Dry Dry Clean: Do Not Dry Clean Wash: Machine Wash - Cold (30°C)",69.95,"[""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666624973.jpg?v=1755478021"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666624959.jpg?v=1755478022"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666624961.jpg?v=1755478021"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666624969.jpg?v=1755478021"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666624971.jpg?v=1755478021"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666624963.jpg?v=1755478022"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666624965.jpg?v=1755478021"", ""https://cdn.shopify.com/s/files/1/0626/3367/2765/files/upload9223368955666624967.jpg?v=1755478022""]"
